City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,molchanovo,57.5817,83.7692,-14.62,96,100,2.34,RU,1708815931
1,aasiaat,68.7098,-52.8699,-18.62,85,94,4.57,GL,1708815931
2,hammerfest,70.6634,23.6821,3.25,70,80,8.75,NO,1708815931
3,katsuren-haebaru,26.3369,127.8719,17.27,78,100,6.17,JP,1708815931
4,grytviken,-54.2811,-36.5092,0.75,70,26,5.41,GS,1708815932
5,ulan bator,47.9077,106.8832,-32.93,75,51,0.0,MN,1708815651
6,sarupathar,26.1984,93.8094,14.4,63,7,0.77,IN,1708815933
7,praia da vitoria,38.7333,-27.0667,18.14,72,75,4.31,PT,1708815933
8,saint-joseph,-21.3667,55.6167,25.21,90,74,2.34,RE,1708815934
9,thompson,55.7435,-97.8558,-10.91,57,75,8.23,CA,1708815934
10,ulladulla,-35.35,150.4667,21.35,62,15,1.86,AU,1708815747
11,masjed soleyman,31.9364,49.3039,12.94,78,100,1.63,IR,1708815935
12,kruisfontein,-34.0033,24.7314,17.7,78,52,4.2,ZA,1708815935
13,ribeira grande,38.5167,-28.7,17.1,93,95,6.71,PT,1708815935
14,bethel,41.3712,-73.414,1.47,45,40,1.34,US,1708815936
15,jolo,6.05,121.0167,25.77,87,31,4.08,PH,1708815936
16,guajara mirim,-10.7828,-65.3394,22.88,99,100,0.87,BR,1708815937
17,pathein,16.7833,94.7333,20.17,91,0,2.59,MM,1708815937
18,maragogi,-9.0122,-35.2225,26.92,81,50,4.46,BR,1708815807
19,amursk,50.2261,136.8994,-23.9,100,96,0.14,RU,1708815938
20,puerto natales,-51.7236,-72.4875,13.06,81,74,1.35,CL,1708815938
21,bilibino,68.0546,166.4372,-31.38,97,100,0.74,RU,1708815938
22,blackmans bay,-43.0167,147.3167,15.07,81,100,0.23,AU,1708815939
23,whitehorse,60.7161,-135.0538,-5.5,52,20,0.45,CA,1708815706
24,nanzhang chengguanzhen,31.7839,111.8275,0.16,89,96,0.65,CN,1708815939
25,adamstown,-25.066,-130.1015,26.71,75,63,6.99,PN,1708815940
26,port-aux-francais,-49.35,70.2167,6.49,73,97,9.68,TF,1708815940
27,betio village,1.358,172.9211,30.02,72,18,1.25,KI,1708815940
28,acarau,-2.8856,-40.12,26.32,86,63,3.77,BR,1708815941
29,papatowai,-46.5619,169.4708,12.62,74,100,5.55,NZ,1708815941
30,atafu village,-8.5421,-172.5159,29.23,70,39,4.57,TK,1708815941
31,katsuura,35.1333,140.3,9.39,68,100,6.18,JP,1708815941
32,hadibu,12.65,54.0333,23.75,75,78,3.98,YE,1708815942
33,butembo,0.15,29.2833,17.61,70,100,1.42,CD,1708815942
34,ancud,-41.8697,-73.8203,15.11,71,51,1.18,CL,1708815943
35,saudarkrokur,65.7461,-19.6394,-11.32,89,100,1.17,IS,1708815943
36,luderitz,-26.6481,15.1594,16.7,74,0,6.73,NA,1708815943
37,kedougou,12.5579,-12.1743,29.32,20,0,0.0,SN,1708815944
38,lebu,-37.6167,-73.65,14.6,80,64,7.76,CL,1708815944
39,la rioja,42.25,-2.5,1.88,82,100,2.86,ES,1708815944
40,quellon,-43.1167,-73.6167,14.61,66,8,3.82,CL,1708815945
41,la ronge,55.1001,-105.2842,-9.86,57,75,6.69,CA,1708815945
42,bandar lampung,-5.4254,105.258,23.35,93,99,0.99,ID,1708815945
